iter	RMSE
0	3.031453603
1	3.024287061
2	3.012521354
3	3.001973304
4	2.991971801
5	2.98071813
6	2.970141571
7	2.960611017
8	2.950974633
9	2.945478914
10	2.937327623
11	2.928585763
12	2.922666008
13	2.914650151
14	2.905925605
15	2.898350275
16	2.896994252
17	2.88921782
18	2.883232656
19	2.874098082
20	2.870226121
21	2.862936354
22	2.855993126
23	2.849324554
24	2.848335332
25	2.840116651
26	2.83159095
27	2.826296902
28	2.817901579
29	2.80889515
30	2.801676237
31	2.794644997
32	2.789713663
33	2.786228282
34	2.778641095
35	2.771988349
36	2.766486676
37	2.758860661
38	2.752581917
39	2.746861425
40	2.741471525
41	2.73625145
42	2.733279694
43	2.730376096
44	2.724565708
45	2.720501371
46	2.716363688
47	2.711760993
48	2.709271984
49	2.707251389
50	2.70149071
51	2.696439732
52	2.695172812
53	2.689945431
54	2.689945381
55	2.684591721
56	2.678770889
57	2.674653861
58	2.672234152
59	2.66840038
60	2.663111931
61	2.656882408
62	2.653396342
63	2.651875983
64	2.651435972
65	2.650961325
66	2.64792809
67	2.643568822
68	2.643235825
69	2.642380486
70	2.639164084
71	2.636555436
72	2.632782761
73	2.628241625
74	2.623476542
75	2.61917964
76	2.614436195
77	2.612232222
78	2.610290513
79	2.608711173
80	2.604935587
81	2.599472038
82	2.594820066
83	2.592769909
84	2.590279296
85	2.589883385
86	2.588677213
87	2.586621059
88	2.582273463
89	2.580248038
90	2.579405942
91	2.57652401
92	2.573404522
93	2.568447627
94	2.564147798
95	2.562076256
96	2.556887922
97	2.552887216
98	2.547780845
99	2.545963814
100	2.544051896
101	2.540227849
102	2.539728938
103	2.538802849
104	2.535164683
105	2.534667835
106	2.532475651
107	2.529236593
108	2.525413841
109	2.52495586
110	2.524492139
111	2.524341487
112	2.523902551
113	2.520153586
114	2.516441728
115	2.513276628
116	2.511328078
117	2.510102389
118	2.509244578
119	2.50573194
120	2.503817967
121	2.499195848
122	2.498541363
123	2.497834986
124	2.494132969
125	2.490638505
126	2.488613012
127	2.485398221
128	2.482648368
129	2.480904444
130	2.478241884
131	2.475109814
132	2.472433742
133	2.469998553
134	2.468226636
135	2.464403306
136	2.463505109
137	2.461248354
138	2.458630178
139	2.456855959
140	2.453816947
141	2.452516503
142	2.450519867
143	2.447000005
144	2.444079143
145	2.441020586
146	2.438715316
147	2.436078931
148	2.433940813
149	2.431297511
150	2.428400602
151	2.425998962
152	2.423364067
153	2.420276457
154	2.417770207
155	2.415017793
156	2.414085987
157	2.411913334
158	2.409571543
159	2.406910507
160	2.404592826
161	2.402107262
162	2.399915091
163	2.397098076
164	2.395110135
165	2.393480563
166	2.390613641
167	2.388380191
168	2.385964126
169	2.383910766
170	2.38114416
171	2.378719659
172	2.376213203
173	2.373272877
174	2.372560261
175	2.370148496
176	2.367132929
177	2.36385898
178	2.362961039
179	2.361194938
180	2.358711529
181	2.356749154
182	2.354514458
183	2.352464226
184	2.350304552
185	2.349135799
